gradelevel,Organizationcode,Organizationid,Organizationname,Schoolyear,Studentcount
Pre-Kindergarten,,106140,,2017-18,9
Pre-Kindergarten,,106175,,2017-18,2
Pre-Kindergarten,1,103300,Washington State,2017-18,"29,880"
Pre-Kindergarten,1523,101228,Special Ed School,2017-18,33
Pre-Kindergarten,1530,100586,Early Childhood Center,2017-18,191
Pre-Kindergarten,1558,102512,Unassigned School,2017-18,100
Pre-Kindergarten,1560,102287,Thompson Preschool,2017-18,598
Pre-Kindergarten,1566,102675,Alternative Northeast Community Center Preschool,2017-18,19
Pre-Kindergarten,1570,102598,Monroe Special Ed Preschool,2017-18,62
Pre-Kindergarten,1594,102882,Panorama School,2017-18,54
Pre-Kindergarten,1624,101458,Issaquah Special Services,2017-18,120
Pre-Kindergarten,1648,101319,Out Of District Facility,2017-18,2
Pre-Kindergarten,1649,101513,Contractual Schools,2017-18,3
Pre-Kindergarten,1650,102365,BECC,2017-18,34
Pre-Kindergarten,1667,101483,Handicapped Contractual Services,2017-18,85
Pre-Kindergarten,1670,102643,Student Services School,2017-18,41
Pre-Kindergarten,1672,101985,Developmental Preschool,2017-18,3
Pre-Kindergarten,1675,100433,Lake Chelan Preschool,2017-18,28
Pre-Kindergarten,1683,100937,South Whidbey Special Services,2017-18,9
Pre-Kindergarten,1685,102514,Maplewood Parent Coop,2017-18,2
Pre-Kindergarten,1708,100494,Sequim Community School,2017-18,53
Pre-Kindergarten,1712,102821,Continuous Curriculum School,2017-18,1
Pre-Kindergarten,1730,102619,Snohomish Center,2017-18,14
Pre-Kindergarten,1743,103101,Meridian Special Programs,2017-18,20
Pre-Kindergarten,1765,102423,Preschool,2017-18,28
Pre-Kindergarten,1781,102183,Sumner Special Services,2017-18,36
Pre-Kindergarten,1787,100501,Cape Flattery Preschool,2017-18,10
Pre-Kindergarten,1815,101624,Northshore Special Services,2017-18,215
Pre-Kindergarten,1823,103109,Nooksack Valley Special Services,2017-18,86
Pre-Kindergarten,1825,102210,Alfaretta House,2017-18,148
Pre-Kindergarten,1830,102516,Contracted Schools,2017-18,187
Pre-Kindergarten,1831,103247,Toppenish Pre School,2017-18,269
Pre-Kindergarten,1848,102486,Special Services,2017-18,147
Pre-Kindergarten,1889,100779,Connell Preschool,2017-18,46
Pre-Kindergarten,1895,102579,ECEAP,2017-18,175
Pre-Kindergarten,1897,100474,Special Education,2017-18,25
Pre-Kindergarten,1899,103931,Washougal Special Services,2017-18,31
Pre-Kindergarten,1910,103817,Marysville SD Special,2017-18,134
Pre-Kindergarten,1914,103851,Lynden Special Services,2017-18,110
Pre-Kindergarten,1915,103852,Special Ed School,2017-18,140
Pre-Kindergarten,1924,103927,Ellensburg Developmental Preschool,2017-18,92
Pre-Kindergarten,1936,103855,Educational Resource Center,2017-18,34
Pre-Kindergarten,1937,103860,Children First,2017-18,31
Pre-Kindergarten,1939,103862,Bainbridge Special Education Services,2017-18,15
Pre-Kindergarten,1951,103878,Support School,2017-18,44
Pre-Kindergarten,1960,103915,ECEAP,2017-18,150
Pre-Kindergarten,1970,103941,Pasco Early Childhood,2017-18,158
Pre-Kindergarten,1981,103968,Developmental Pre-School,2017-18,5
Pre-Kindergarten,2000,100359,Keewaydin Discovery Center,2017-18,242
Pre-Kindergarten,2001,100404,Special Programs,2017-18,102
Pre-Kindergarten,2006,100745,Curlew Elem & High School,2017-18,18
Pre-Kindergarten,2026,101702,Poulsbo Elementary School,2017-18,36
Pre-Kindergarten,2036,102096,Larchmont,2017-18,49
Pre-Kindergarten,2052,103130,Tekoa Elementary School,2017-18,22
Pre-Kindergarten,2056,102687,Holmes Elementary,2017-18,26
Pre-Kindergarten,2061,101036,Green Lake Elementary School,2017-18,4
Pre-Kindergarten,2062,102906,Northport Elementary School,2017-18,14
Pre-Kindergarten,2065,102436,Garfield Elementary School,2017-18,35
Pre-Kindergarten,2067,103051,Roosevelt Elementary School,2017-18,3
Pre-Kindergarten,2069,101038,Madrona K-5 School,2017-18,3
Pre-Kindergarten,2074,103012,Berney Elementary School,2017-18,5
Pre-Kindergarten,2083,102100,Washington Elementary,2017-18,24
Pre-Kindergarten,2086,102688,Roosevelt Elementary,2017-18,25
Pre-Kindergarten,2087,103125,Lacrosse Elementary School,2017-18,5
Pre-Kindergarten,2089,101044,Martin Luther King Jr. Elementary School,2017-18,38
Pre-Kindergarten,2094,102102,Blix Elementary,2017-18,20
Pre-Kindergarten,2096,102689,Regal Elementary,2017-18,19
Pre-Kindergarten,2103,102104,Jefferson,2017-18,22
Pre-Kindergarten,2108,102691,Stevens Elementary,2017-18,40
Pre-Kindergarten,2109,102692,Willard Elementary,2017-18,5
Pre-Kindergarten,2110,102693,Sheridan Elementary,2017-18,23
Pre-Kindergarten,2111,102694,Jefferson Elementary,2017-18,1
Pre-Kindergarten,2114,103025,Davis Elementary,2017-18,16
Pre-Kindergarten,2115,103150,Steptoe Elementary School,2017-18,23
Pre-Kindergarten,2116,103175,Davis High School,2017-18,3
Pre-Kindergarten,2118,101049,Emerson Elementary School,2017-18,35
Pre-Kindergarten,2120,101051,Van Asselt Elementary School,2017-18,18
Pre-Kindergarten,2123,101053,Greenwood Elementary School,2017-18,17
Pre-Kindergarten,2128,102696,Audubon Elementary,2017-18,2
Pre-Kindergarten,2129,102697,Cooper Elementary,2017-18,5
Pre-Kindergarten,2133,100386,Paterson Elementary School,2017-18,10
Pre-Kindergarten,2136,100747,Orient Elem,2017-18,9
Pre-Kindergarten,2141,101056,Thurgood Marshall Elementary,2017-18,8
Pre-Kindergarten,2144,101254,Mount View Elementary,2017-18,26
Pre-Kindergarten,2145,101906,Grapeview Elementary & Middle School,2017-18,5
Pre-Kindergarten,2148,102105,Franklin,2017-18,64
Pre-Kindergarten,2155,102698,Bemiss Elementary,2017-18,3
Pre-Kindergarten,2156,102699,Adams Elementary,2017-18,2
Pre-Kindergarten,2160,103029,Touchet Elem & High School,2017-18,3
Pre-Kindergarten,2161,100740,Waterville Elementary,2017-18,3
Pre-Kindergarten,2167,102106,Fern Hill,2017-18,18
Pre-Kindergarten,2168,102107,Sheridan,2017-18,68
Pre-Kindergarten,2169,102108,Point Defiance,2017-18,17
Pre-Kindergarten,2175,103053,Silver Beach Elementary School,2017-18,102
Pre-Kindergarten,2189,102217,Park Lodge Elementary School,2017-18,1
Pre-Kindergarten,2190,102322,Elk Ridge Elementary,2017-18,15
Pre-Kindergarten,2191,102701,Whitman Elementary,2017-18,1
Pre-Kindergarten,2195,100398,Keene-Riverview Elementary,2017-18,46
Pre-Kindergarten,2196,100425,Manson Elementary,2017-18,28
Pre-Kindergarten,2199,101064,Concord International School,2017-18,34
Pre-Kindergarten,2205,102314,Eatonville Elementary School,2017-18,13
Pre-Kindergarten,2207,103154,Endicott/St John Elem and Middle,2017-18,12
Pre-Kindergarten,2209,101068,Broadview-Thomson K-8 School,2017-18,53
Pre-Kindergarten,2218,102702,Browne Elementary,2017-18,3
Pre-Kindergarten,2227,101834,Adna Elementary School,2017-18,3
Pre-Kindergarten,2233,100738,Mansfield Elem and High School,2017-18,4
Pre-Kindergarten,2244,101869,Edison Elementary,2017-18,1
Pre-Kindergarten,2247,102113,Northeast Tacoma,2017-18,51
Pre-Kindergarten,2252,102114,Manitou Park,2017-18,75
Pre-Kindergarten,2257,102268,Collins Elementary,2017-18,3
Pre-Kindergarten,2258,102703,Hutton Elementary,2017-18,2
Pre-Kindergarten,2260,102914,McKenna Elementary,2017-18,1
Pre-Kindergarten,2262,103056,Geneva Elementary School,2017-18,15
Pre-Kindergarten,2268,100874,Emerson Elementary,2017-18,1
Pre-Kindergarten,2269,101077,Highland Park Elementary School,2017-18,16
Pre-Kindergarten,2272,101743,South Kitsap High School,2017-18,2
Pre-Kindergarten,2274,101857,Cascade Elementary School,2017-18,18
Pre-Kindergarten,2275,102115,Roosevelt,2017-18,67
Pre-Kindergarten,2277,102562,Arlington Special Educ School,2017-18,59
Pre-Kindergarten,2288,101449,Snoqualmie Elementary,2017-18,47
Pre-Kindergarten,2289,101522,Redmond Elementary,2017-18,1
Pre-Kindergarten,2290,101838,Winlock Miller Elementary,2017-18,65
Pre-Kindergarten,2292,102008,North River School,2017-18,2
Pre-Kindergarten,2297,102902,Springdale Elementary,2017-18,32
Pre-Kindergarten,2307,101081,Bailey Gatzert Elementary School,2017-18,28
Pre-Kindergarten,2310,101935,Hood Canal Elementary School,2017-18,18
Pre-Kindergarten,2311,102039,Stewart Elementary,2017-18,25
Pre-Kindergarten,2312,102705,Finch Elementary,2017-18,1
Pre-Kindergarten,2321,101082,Dunlap Elementary School,2017-18,61
Pre-Kindergarten,2326,101413,Washington Elementary School,2017-18,33
Pre-Kindergarten,2328,101784,Cle Elum Roslyn Elementary,2017-18,12
Pre-Kindergarten,2334,102040,Meeker Elementary,2017-18,1
Pre-Kindergarten,2335,102117,Madison Headstart,2017-18,99
Pre-Kindergarten,2336,102118,Lyon,2017-18,2
Pre-Kindergarten,2340,103863,Midland Elementary,2017-18,1
Pre-Kindergarten,2345,103230,Mcclure Elementary School,2017-18,62
Pre-Kindergarten,2347,100462,Mission View Elementary School,2017-18,1
Pre-Kindergarten,2358,102121,Stanley,2017-18,58
Pre-Kindergarten,2360,102205,Orting Primary School,2017-18,18
Pre-Kindergarten,2361,102316,Weyerhaeuser Elementary,2017-18,1
Pre-Kindergarten,2368,100477,Jefferson Elementary,2017-18,17
Pre-Kindergarten,2381,102706,Arlington Elementary,2017-18,4
Pre-Kindergarten,2385,102909,Kettle Falls Elementary School,2017-18,9
Pre-Kindergarten,2387,103058,Sunnyland Elementary School,2017-18,12
Pre-Kindergarten,2396,101960,Pateros Elementary,2017-18,7
Pre-Kindergarten,2398,102270,Central Avenue Elementary,2017-18,3
Pre-Kindergarten,2406,102989,Griffin School,2017-18,27
Pre-Kindergarten,2422,101975,Oroville Elementary,2017-18,30
Pre-Kindergarten,2431,103060,Birchwood Elementary School,2017-18,13
Pre-Kindergarten,2433,103182,Ridgeview Elementary,2017-18,1
Pre-Kindergarten,2446,102624,Central Elementary,2017-18,149
Pre-Kindergarten,2448,102962,Garfield Elementary School,2017-18,43
Pre-Kindergarten,2449,100861,McDermoth Elementary,2017-18,4
Pre-Kindergarten,2457,102998,Parkside Elementary,2017-18,35
Pre-Kindergarten,2458,103077,Central Elementary,2017-18,12
Pre-Kindergarten,2466,102170,Carbonado Historical School 19,2017-18,20
Pre-Kindergarten,2469,103238,Outlook Elementary School,2017-18,20
Pre-Kindergarten,2472,100849,Wilson Creek Elementary,2017-18,21
Pre-Kindergarten,2480,102889,Loon Lake Elementary School,2017-18,15
Pre-Kindergarten,2485,101405,Carnation Elementary School,2017-18,85
Pre-Kindergarten,2487,102963,Boston Harbor Elementary,2017-18,30
Pre-Kindergarten,2493,101626,C O Sorenson,2017-18,227
Pre-Kindergarten,2494,101938,Nespelem Elementary,2017-18,19
Pre-Kindergarten,2495,102041,Waller Road Elementary,2017-18,1
Pre-Kindergarten,2496,102042,Firgrove Elementary,2017-18,22
Pre-Kindergarten,2497,102043,Spinning Elementary,2017-18,1
Pre-Kindergarten,2498,102044,Maplewood Elementary,2017-18,22
Pre-Kindergarten,2502,100724,Palisades Elementary School,2017-18,1
Pre-Kindergarten,2505,103286,Wide Hollow Elementary,2017-18,2
Pre-Kindergarten,2506,103298,Harrah Elementary School,2017-18,20
Pre-Kindergarten,2507,100354,Asotin Elementary,2017-18,43
Pre-Kindergarten,2509,100579,Hathaway Elementary,2017-18,1
Pre-Kindergarten,2512,101349,Skykomish Elementary School,2017-18,9
Pre-Kindergarten,2514,101766,Thorp Elem & Jr Sr High,2017-18,10
Pre-Kindergarten,2516,101842,Boistfort Elem,2017-18,16
Pre-Kindergarten,2519,102045,Woodland Elementary,2017-18,3
Pre-Kindergarten,2520,102351,Friday Harbor Elementary School,2017-18,8
Pre-Kindergarten,2521,102379,Big Lake Elementary School,2017-18,1
Pre-Kindergarten,2522,102400,La Conner Elementary,2017-18,35
Pre-Kindergarten,2525,102863,Chattaroy Elementary,2017-18,62
Pre-Kindergarten,2527,102993,Rochester Primary School,2017-18,24
Pre-Kindergarten,2530,103209,Moxee Elementary,2017-18,1
Pre-Kindergarten,2539,101951,Grainger Elementary,2017-18,37
Pre-Kindergarten,2545,102440,Silver Lake Elementary,2017-18,73
Pre-Kindergarten,2546,102605,Maltby Elementary,2017-18,1
Pre-Kindergarten,2549,103832,Wellpinit Elementary School,2017-18,2
Pre-Kindergarten,2552,102947,Michael T Simmons Elementary,2017-18,93
Pre-Kindergarten,2558,100569,La Center Elementary,2017-18,31
Pre-Kindergarten,2562,100720,Bridgeport Elementary,2017-18,52
Pre-Kindergarten,2565,101571,Meridian Elementary School,2017-18,29
Pre-Kindergarten,2572,101827,Mossyrock Elementary School,2017-18,13
Pre-Kindergarten,2576,102291,Clover Creek Elementary,2017-18,1
Pre-Kindergarten,2578,102403,Conway School District 317,2017-18,20
Pre-Kindergarten,2584,103103,Irene Reither Elementary School,2017-18,2
Pre-Kindergarten,2587,103135,Franklin Elementary,2017-18,11
Pre-Kindergarten,2588,103152,Colton School,2017-18,16
Pre-Kindergarten,2592,103185,Adams Elementary School,2017-18,49
Pre-Kindergarten,2605,101789,Wishram High And Elementary Schl,2017-18,7
Pre-Kindergarten,2607,103080,Custer Elem,2017-18,2
Pre-Kindergarten,2613,101665,West Hills S.T.E.M. Academy,2017-18,14
Pre-Kindergarten,2621,102964,McLane Elementary School,2017-18,26
Pre-Kindergarten,2622,103144,Palouse Elementary,2017-18,18
Pre-Kindergarten,2636,100525,Early Childhood Education Center,2017-18,319
Pre-Kindergarten,2639,101260,White Center Heights Elementary,2017-18,69
Pre-Kindergarten,2641,101745,East Port Orchard Elementary,2017-18,4
Pre-Kindergarten,2642,100406,Jefferson Elementary,2017-18,70
Pre-Kindergarten,2643,100527,Harney Elementary School,2017-18,1
Pre-Kindergarten,2645,101098,West Seattle Elementary School,2017-18,33
Pre-Kindergarten,2650,101746,Orchard Heights Elementary,2017-18,2
Pre-Kindergarten,2651,102219,Tillicum Elementary School,2017-18,38
Pre-Kindergarten,2652,102220,Lakeview Hope Academy,2017-18,2
Pre-Kindergarten,2653,102824,Trent School,2017-18,77
Pre-Kindergarten,2656,100408,Marcus Whitman Elementary,2017-18,30
Pre-Kindergarten,2657,100409,Lewis & Clark Elementary School,2017-18,31
Pre-Kindergarten,2659,101415,Terminal Park Elementary School,2017-18,34
Pre-Kindergarten,2662,101929,Belfair Elementary,2017-18,48
Pre-Kindergarten,2664,102873,Gess Elementary,2017-18,9
Pre-Kindergarten,2665,100668,Broadway Learning Center,2017-18,103
Pre-Kindergarten,2666,100718,Orondo Elementary and Middle School,2017-18,31
Pre-Kindergarten,2668,101901,Davenport Elementary,2017-18,20
Pre-Kindergarten,2669,102442,Madison Elementary,2017-18,40
Pre-Kindergarten,2677,101807,Goldendale Primary School,2017-18,2
Pre-Kindergarten,2678,101830,Morton Elementary School,2017-18,22
Pre-Kindergarten,2688,100430,Paul Rumburg Elementary,2017-18,31
Pre-Kindergarten,2689,100435,Morgen Owings Elementary School,2017-18,1
Pre-Kindergarten,2691,100707,Catlin Elementary,2017-18,19
Pre-Kindergarten,2693,100813,Coulee City Elementary,2017-18,15
Pre-Kindergarten,2694,100817,Soap Lake Elementary,2017-18,37
Pre-Kindergarten,2699,101261,Hazel Valley Elementary,2017-18,18
Pre-Kindergarten,2708,102711,Madison Elementary,2017-18,2
Pre-Kindergarten,2712,103037,Waitsburg Elementary School,2017-18,3
Pre-Kindergarten,2714,103167,Union Gap School,2017-18,27
Pre-Kindergarten,2715,103186,Hoover Elementary School,2017-18,147
Pre-Kindergarten,2717,103239,Washington Elementary,2017-18,10
Pre-Kindergarten,2719,100341,Ritzville Grade School,2017-18,30
Pre-Kindergarten,2726,100669,Olympic Elementary School,2017-18,1
Pre-Kindergarten,2730,101102,Arbor Heights Elementary School,2017-18,6
Pre-Kindergarten,2733,101105,Lafayette Elementary School,2017-18,15
Pre-Kindergarten,2738,101459,Clark Elementary,2017-18,1
Pre-Kindergarten,2741,101773,Lincoln Elementary,2017-18,1
Pre-Kindergarten,2743,101897,Harrington Elementary School,2017-18,18
Pre-Kindergarten,2745,101912,Evergreen Elementary School,2017-18,76
Pre-Kindergarten,2746,102126,Geiger,2017-18,68
Pre-Kindergarten,2747,102127,Downing,2017-18,63
Pre-Kindergarten,2749,102342,Orcas Island Elementary School,2017-18,10
Pre-Kindergarten,2751,102443,Jackson Elementary School,2017-18,2
Pre-Kindergarten,2752,102444,Whittier Elementary,2017-18,2
Pre-Kindergarten,2754,102924,South Bay Elementary,2017-18,137
Pre-Kindergarten,2756,103232,Thompson Elementary School,2017-18,41
Pre-Kindergarten,2759,100388,Kiona-Benton City Primary School,2017-18,6
Pre-Kindergarten,2760,100447,Peshastin Dryden Elementary,2017-18,65
Pre-Kindergarten,2762,100688,Castle Rock Elementary,2017-18,33
Pre-Kindergarten,2763,100862,Robert Gray Elementary,2017-18,25
Pre-Kindergarten,2769,101892,P C Jantz Elementary,2017-18,20
Pre-Kindergarten,2770,102016,Bess Herian Elementary,2017-18,1
Pre-Kindergarten,2771,102128,Lister,2017-18,39
Pre-Kindergarten,2772,102129,Fawcett,2017-18,30
Pre-Kindergarten,2774,102381,Mary Purcell Elementary School,2017-18,1
Pre-Kindergarten,2783,103268,Hilton Elementary School,2017-18,34
Pre-Kindergarten,2786,100413,Jason Lee Elementary School,2017-18,29
Pre-Kindergarten,2787,100440,VALE ELEMENTARY SCHOOL,2017-18,71
Pre-Kindergarten,2789,100755,Republic Elementary School,2017-18,22
Pre-Kindergarten,2790,100761,Longfellow Elementary,2017-18,14
Pre-Kindergarten,2792,100808,Warden Elementary,2017-18,30
Pre-Kindergarten,2796,101525,Juanita Elementary,2017-18,47
Pre-Kindergarten,2798,101704,David Wolfle Elementary,2017-18,32
Pre-Kindergarten,2802,100856,Lake Roosevelt Elementary,2017-18,40
Pre-Kindergarten,2803,101990,Raymond Elementary School,2017-18,47
Pre-Kindergarten,2804,101994,Chauncey Davis Elementary,2017-18,86
Pre-Kindergarten,2806,102131,Reed,2017-18,33
Pre-Kindergarten,2811,102445,Lowell Elementary,2017-18,99
Pre-Kindergarten,2814,102813,Sunset Elementary,2017-18,28
Pre-Kindergarten,2817,103062,Carl Cozier Elementary School,2017-18,1
Pre-Kindergarten,2821,103210,Terrace Heights Elementary,2017-18,1
Pre-Kindergarten,2830,100657,Dayton Elementary School,2017-18,21
Pre-Kindergarten,2832,100827,Peninsula Elementary,2017-18,25
Pre-Kindergarten,2833,100828,Knolls Vista Elementary,2017-18,29
Pre-Kindergarten,2834,100863,A J West Elementary,2017-18,23
Pre-Kindergarten,2835,100886,Mccleary Elem,2017-18,41
Pre-Kindergarten,2836,100947,Brinnon Elementary,2017-18,10
Pre-Kindergarten,2844,101268,Gregory Heights Elementary,2017-18,20
Pre-Kindergarten,2846,101358,Enatai Elementary School,2017-18,90
Pre-Kindergarten,2847,101359,Clyde Hill Elementary,2017-18,41
Pre-Kindergarten,2851,101575,East Hill Elementary School,2017-18,4
Pre-Kindergarten,2853,101672,View Ridge Elementary Arts Academy,2017-18,26
Pre-Kindergarten,2854,101705,Hilder Pearson Elementary,2017-18,17
Pre-Kindergarten,2858,101852,Pe Ell School,2017-18,21
Pre-Kindergarten,2860,101885,Almira Elementary School,2017-18,10
Pre-Kindergarten,2862,101888,Creston Elementary,2017-18,1
Pre-Kindergarten,2864,101883,Reardan Elementary School,2017-18,19
Pre-Kindergarten,2868,101998,Naselle-Grays River Valley Elementary,2017-18,3
Pre-Kindergarten,2870,102047,Karshner Elementary,2017-18,20
Pre-Kindergarten,2871,102132,Edison,2017-18,20
Pre-Kindergarten,2874,102135,Whitman,2017-18,47
Pre-Kindergarten,2878,102334,Discovery Primary School,2017-18,54
Pre-Kindergarten,2883,102446,Hawthorne Elementary School,2017-18,58
Pre-Kindergarten,2884,102473,Mt. Pilchuck Elementary School,2017-18,1
Pre-Kindergarten,2885,102474,Hillcrest Elementary School,2017-18,3
Pre-Kindergarten,2888,102519,Terrace Park Elementary,2017-18,10
Pre-Kindergarten,2893,103003,Julius A Wendt Elementary/John C Thomas Middle School,2017-18,5
Pre-Kindergarten,2894,103141,Leonard M Jennings Elementary,2017-18,9
Pre-Kindergarten,2895,103147,Garfield Elementary,2017-18,17
Pre-Kindergarten,2899,103190,Mcclure Elementary School,2017-18,36
Pre-Kindergarten,2902,100331,Lutacaga Elementary,2017-18,2
Pre-Kindergarten,2909,100481,Franklin Elementary,2017-18,1
Pre-Kindergarten,2910,100636,Yacolt Primary,2017-18,40
Pre-Kindergarten,2912,100594,Orchards Elementary School,2017-18,36
Pre-Kindergarten,2915,100693,Kalama Elem School,2017-18,13
Pre-Kindergarten,2918,100781,Connell Elem,2017-18,16
Pre-Kindergarten,2919,100802,Pioneer Elementary,2017-18,2
Pre-Kindergarten,2921,100900,Lake Quinault School,2017-18,21
Pre-Kindergarten,2922,100914,Oakville Elementary,2017-18,8
Pre-Kindergarten,2926,101270,Cedarhurst Elementary,2017-18,18
Pre-Kindergarten,2932,101418,Dick Scobee Elementary School,2017-18,44
Pre-Kindergarten,2939,102137,Delong,2017-18,19
Pre-Kindergarten,2940,102138,Arlington,2017-18,85
Pre-Kindergarten,2941,102139,Mann,2017-18,83
Pre-Kindergarten,2943,102222,Custer Elementary School,2017-18,35
Pre-Kindergarten,2944,102252,Harbor Heights Elementary School,2017-18,34
Pre-Kindergarten,2945,102272,James Sales Elementary,2017-18,2
Pre-Kindergarten,2946,102369,West View Elementary,2017-18,1
Pre-Kindergarten,2948,102596,Index Elementary School District 63,2017-18,4
Pre-Kindergarten,2950,102714,Ridgeview Elementary,2017-18,1
Pre-Kindergarten,2951,102715,Lincoln Heights Elementary,2017-18,34
Pre-Kindergarten,2952,102716,Lidgerwood Elementary,2017-18,1
Pre-Kindergarten,2954,102814,Betz Elementary,2017-18,30
Pre-Kindergarten,2955,102825,Otis Orchards School,2017-18,33
Pre-Kindergarten,2961,100332,Hiawatha Elementary School,2017-18,1
Pre-Kindergarten,2967,100763,Emerson Elementary,2017-18,1
Pre-Kindergarten,2969,100829,Lakeview Terrace Elementary,2017-18,3
Pre-Kindergarten,2970,100830,Midway Elementary,2017-18,104
Pre-Kindergarten,2971,100864,Stevens Elementary School,2017-18,43
Pre-Kindergarten,2976,101112,Olympic Hills Elementary School,2017-18,55
Pre-Kindergarten,2977,101113,Viewlands Elementary School,2017-18,17
Pre-Kindergarten,2980,101229,Byron Kibler Elementary School,2017-18,2
Pre-Kindergarten,2984,101274,Midway Elementary,2017-18,18
Pre-Kindergarten,2993,101627,Kenmore Elementary,2017-18,49
Pre-Kindergarten,2994,101720,Brownsville Elementary,2017-18,18
Pre-Kindergarten,2995,101747,Olalla Elementary School,2017-18,1
Pre-Kindergarten,2997,101812,Hulan L Whitson Elem,2017-18,45
Pre-Kindergarten,2998,101845,Toledo Elementary School,2017-18,15
Pre-Kindergarten,2999,101943,N Omak Elementary,2017-18,184
Pre-Kindergarten,3002,102447,View Ridge Elementary,2017-18,3
Pre-Kindergarten,3007,102717,Hamblen Elementary,2017-18,2
Pre-Kindergarten,3013,103233,Smith Elementary School,2017-18,34
Pre-Kindergarten,3015,100333,Othello High School,2017-18,39
Pre-Kindergarten,3018,100637,Glenwood Heights Primary,2017-18,1
Pre-Kindergarten,3019,100672,Robert Gray Elementary,2017-18,1
Pre-Kindergarten,3020,100803,Mountain View Elementary,2017-18,27
Pre-Kindergarten,3021,100831,Larson Heights Elementary,2017-18,22
Pre-Kindergarten,3025,100911,Ocosta Elementary School,2017-18,19
Pre-Kindergarten,3027,101115,Northgate Elementary School,2017-18,37
Pre-Kindergarten,3028,101116,Sacajawea Elementary School,2017-18,21
Pre-Kindergarten,3036,101360,Eastgate Elementary School,2017-18,84
Pre-Kindergarten,3043,101691,Capt. Charles Wilkes Elem School,2017-18,24
Pre-Kindergarten,3047,101800,Glenwood Elementary,2017-18,5
Pre-Kindergarten,3049,101815,Dallesport Elementary,2017-18,21
Pre-Kindergarten,3050,101879,Sprague Elementary,2017-18,8
Pre-Kindergarten,3053,102140,Grant,2017-18,23
Pre-Kindergarten,3055,102253,Evergreen Elementary,2017-18,38
Pre-Kindergarten,3056,102254,Vaughn Elementary School,2017-18,77
Pre-Kindergarten,3060,102607,Frank Wagner Elementary,2017-18,18
Pre-Kindergarten,3062,101798,Trout Lake Elementary,2017-18,1
Pre-Kindergarten,3063,102719,Westview Elementary,2017-18,3
Pre-Kindergarten,3064,102789,University Elementary School,2017-18,7
Pre-Kindergarten,3066,102967,Madison Elementary School,2017-18,33
Pre-Kindergarten,3069,103161,St John Elementary,2017-18,10
Pre-Kindergarten,3070,103225,Artz Fox Elementary,2017-18,33
Pre-Kindergarten,3072,103258,Marcus Whitman-Cowiche Elementary,2017-18,40
Pre-Kindergarten,3075,100326,Washtucna Elementary/High School,2017-18,4
Pre-Kindergarten,3077,100364,Hawthorne Elementary School,2017-18,1
Pre-Kindergarten,3078,100394,Finley Elementary,2017-18,16
Pre-Kindergarten,3085,100764,Mark Twain Elementary,2017-18,1
Pre-Kindergarten,3086,100782,Mesa Elem,2017-18,16
Pre-Kindergarten,3087,100791,Pomeroy Elementary School,2017-18,47
Pre-Kindergarten,3090,100820,Red Rock Elementary,2017-18,12
Pre-Kindergarten,3091,100833,Garden Heights Elementary,2017-18,1
Pre-Kindergarten,3094,100963,Salish Coast Elementary,2017-18,30
Pre-Kindergarten,3100,101361,Stevenson Elementary,2017-18,38
Pre-Kindergarten,3105,101628,Crystal Springs Elementary,2017-18,1
Pre-Kindergarten,3107,101630,Arrowhead Elementary,2017-18,2
Pre-Kindergarten,3108,101673,Crownhill Elementary School,2017-18,8
Pre-Kindergarten,3110,101749,South Colby Elementary,2017-18,1
Pre-Kindergarten,3117,102223,Idlewild Elementary School,2017-18,1
Pre-Kindergarten,3125,102664,Stanwood Elementary School,2017-18,63
Pre-Kindergarten,3127,102791,McDonald Elementary School,2017-18,1
Pre-Kindergarten,3128,102828,Trentwood School,2017-18,35
Pre-Kindergarten,3130,102926,Mountain View Elementary,2017-18,100
Pre-Kindergarten,3134,103063,Happy Valley Elementary School,2017-18,13
Pre-Kindergarten,3138,103192,Barge-Lincoln Elementary School,2017-18,59
Pre-Kindergarten,3148,100595,Ellsworth Elementary School,2017-18,1
Pre-Kindergarten,3152,100794,Mattawa Elementary,2017-18,1
Pre-Kindergarten,3153,100834,Longview Elementary,2017-18,5
Pre-Kindergarten,3154,100866,Hopkins Elementary,2017-18,103
Pre-Kindergarten,3155,100881,Pacific Beach Elementary School,2017-18,11
Pre-Kindergarten,3157,101120,Roxhill Elementary School,2017-18,55
Pre-Kindergarten,3165,101285,Hilltop Elementary,2017-18,55
Pre-Kindergarten,3168,101364,Phantom Lake Elementary,2017-18,143
Pre-Kindergarten,3171,101675,Naval Avenue Elementary School,2017-18,19
Pre-Kindergarten,3176,101972,Tonasket Elementary School,2017-18,41
Pre-Kindergarten,3184,102448,Emerson Elementary School,2017-18,22
Pre-Kindergarten,3185,102524,Early Childhood Center,2017-18,184
Pre-Kindergarten,3187,102582,Shoultes Elementary,2017-18,1
Pre-Kindergarten,3190,102721,Linwood Elementary,2017-18,13
Pre-Kindergarten,3200,103064,Alderwood Elementary School,2017-18,16
Pre-Kindergarten,3203,103137,Jefferson Elementary,2017-18,27
Pre-Kindergarten,3204,103157,Rosalia Elementary & Secondary School,2017-18,25
Pre-Kindergarten,3205,103164,Oakesdale Elementary School,2017-18,21
Pre-Kindergarten,3206,103194,Eisenhower High School,2017-18,6
Pre-Kindergarten,3214,100788,Kahlotus Elem & High,2017-18,8
